ZCTA,LAT,LON
32053,30.56420593,-83.15185907
32055,30.27032415,-82.6250439
32061,30.1122979,-82.48569325
32112,29.42663761,-81.55649143
32137,29.58163229,-81.22336596
32190,29.33286702,-81.49058306
32218,30.48672081,-81.66957938
32348,29.94577438,-83.56939034
32427,30.7158811,-85.79309854
32505,30.45576081,-87.26083729
32563,30.38178865,-87.04344
32583,30.61081134,-86.97342
32680,29.45400987,-83.1195295
33955,26.82553,-81.97067735
34112,26.12400852,-81.7368485
34211,27.45375207,-82.387506
34235,27.36673809,-82.47726878
34449,29.10428048,-82.68739928
34601,28.5891889,-82.36858033
34691,28.19056153,-82.76592387
34981,27.39326683,-80.37164997
32008,29.90351508,-82.90311001
32011,30.56983817,-81.83975912
32034,30.62341861,-81.49139512
32038,29.93614602,-82.69921269
32110,29.44454538,-81.3613244
32128,29.09773299,-81.07465155
32174,29.28930086,-81.16446583
32208,30.39352482,-81.68251082
32310,30.42792747,-84.502502
32336,30.14254735,-83.91935125
32423,30.94497514,-85.06076582
32443,30.8428778,-85.07476025
32460,30.77564755,-84.94947304
32539,30.78124152,-86.46642588
32619,29.75660381,-82.86667727
32701,28.66509559,-81.36913415
32714,28.66239549,-81.41150887
32754,28.68564598,-80.92078548
32776,28.81031562,-81.4871824
32814,28.57000588,-81.32664027
32905,28.03136307,-80.59995748
33020,26.0191107,-80.15252808
33031,25.52707867,-80.50316823
33050,24.7516207,-80.98235932
33145,25.75324694,-80.23451218
33165,25.73440283,-80.35861663
33170,25.55829772,-80.45304838
33194,25.71628838,-80.62802666
33556,28.13068608,-82.6221975
33619,27.9349568,-82.37875796
33716,27.87772358,-82.65060162
33810,28.13250609,-82.0191385
33838,28.01852192,-81.60956278
33917,26.7540075,-81.84779515
33947,26.89013967,-82.27184695
33990,26.62872359,-81.94601662
34224,26.93072287,-82.2786695
34237,27.33758017,-82.51411729
34452,28.76229485,-82.37984787
34602,28.50251679,-82.28008981
35080,33.2550752,-86.91893879
35083,34.19715357,-86.59306821
35097,33.89870122,-86.62525035
35116,33.73166335,-86.76818631
35176,33.4817068,-86.50222113
35463,33.05625278,-87.68689647
35585,34.41482119,-87.78161375
35661,34.77737816,-87.56330948
35744,34.61436662,-85.90603793
35904,34.09500386,-85.9741125
35983,34.17085609,-85.76744921
36022,32.61952248,-86.4048964
36066,32.4694328,-86.42017271
36088,32.41913187,-85.71798261
36201,33.65082156,-85.88262056
36310,31.60295104,-85.21231131
36346,31.55704759,-85.93568608
