PWSID,LAT,LON,POP_SERVED,AREA_sqm
090400057,35.78009541,-110.4994384,366,647141.0277
090400071,32.48455256,-114.7196892,325,1194107.275
090400073,32.65015471,-114.6416372,280,667409.9087
090400076,34.07521532,-109.8994994,2988,1951276.634
090400088,33.60667532,-111.6883759,7260,2882930.417
090400089,32.73746281,-114.6083055,7130,6600946.574
090400090,33.01179912,-111.9871548,11907,2157914.645
090400092,33.09535676,-111.9140703,2603,2312092.751
090400096,33.16545969,-111.8038114,2566,1859386.496
090400101,35.95990187,-114.0959505,3000,2483157.392
090400104,36.12569872,-111.2222908,1740,3682380.712
090400105,35.86651743,-110.617022,1302,2353986.407
090400106,35.83151613,-110.3909014,4108,4016579.648
090400107,35.79363332,-110.4828381,609,22936129.32
090400108,35.54236886,-113.4176185,2080,924231.0372
090400109,33.49336896,-111.8324878,20951,17167202.86
090400110,33.13397318,-110.1508297,3160,24910490.04
090400112,33.19310636,-110.5202054,702,27819.88546
090400114,33.36693726,-110.4596628,8478,10676357.03
090400116,34.64254934,-111.9099575,2200,626172.1382
090400119,34.78772614,-112.5046075,415,288424.8529
090400220,32.04782358,-111.2938435,240,96431.49035
090400226,32.5091708,-111.9498764,1623,317553.3765
090400227,32.08830344,-110.9599087,393,185198.8721
090400228,32.09613695,-111.0107395,1125,2394816.742
090400239,33.35491922,-110.6552068,552,934286.0457
090400243,34.06929319,-110.4975503,2590,7817723.096
090400244,33.99303126,-110.2868467,228,715992.4978
090400259,35.80992997,-110.5327553,1756,2544515.624
090400274,36.89608269,-112.7434169,250,249369.2139
090400277,36.99270181,-112.5311564,88,40129.26894
090400300,34.84688041,-114.5893368,380,3866217.903
090400301,34.94782659,-114.587417,600,114814.86
090400302,35.30044569,-114.883699,3000,16569.21971
090400304,34.96729603,-114.621306,70,13077.18758
090400343,34.32005626,-111.0808226,2660,2503370.36
090400394,35.80898932,-110.4965444,490,204505.2866
090400676,32.6066785,-114.5527541,1095,201752.0113
090400687,35.91867661,-110.6627065,1147,931216.4377
090400692,33.28944141,-112.17413,22795,5771860.152
090400693,33.83542519,-109.9701505,15570,18656853.44
090400695,33.75229467,-111.7674316,100,324075.7429
090400699,33.60233417,-111.0103193,612,427237.7523
090400700,35.92618525,-110.669147,1621,543945.7418
090400706,33.47362605,-111.7938638,455,2113931.998
090408027,36.93965631,-112.9287147,70,2585955.423
090415013,34.14376805,-114.287885,3132,2174884.708
090600030,39.16534602,-123.2530148,500,372213.3676
090600057,32.64826553,-116.488501,102,550990.3738
090600058,38.48670993,-120.61525,11268,3460995.942
090600118,32.64755801,-116.946357,950,16235027.11
090600120,37.16315496,-118.2941042,550,1188372.041
090600121,37.08381713,-119.464921,408,1008170.81
090600122,37.3676884,-118.4245171,2735,2303522.255
090600125,34.75215555,-114.1992295,2300,1219540.41
090600126,36.97989621,-119.384393,209,2863427.804
090600128,41.85719542,-120.1532755,88,239671.7559
090600129,36.83526978,-118.218791,100,608299.7114
090600130,34.17866036,-114.2525104,172,28780.06252
090600133,38.82543423,-123.0128591,250,428296.8632
090600134,41.33000347,-124.0305642,29,36283.62305
090600135,38.52651212,-123.2656543,125,268475.3194
090600138,36.59749299,-118.0550655,335,1279439.529
090600139,38.94931817,-123.662451,100,664549.0759
090600142,33.95137986,-116.8347793,16000,3254349.339
090600144,33.35608905,-117.07256,360,1152653.659
090600145,39.24932524,-123.7804823,456,1046978.789
090600146,33.26345305,-116.9493437,305,1001482.765
090600147,33.19700177,-117.3819003,7003,930812.1386
090600148,36.24825469,-119.823822,1000,4630655.77
090600150,33.09346613,-116.645048,275,117254.5588
090600151,33.77560435,-116.9074748,3000,520399.2577
090600156,35.79793757,-119.1386809,2555,10254762.04
090600158,32.64356826,-117.0269803,9500,13389443.07
090600159,37.56367382,-118.7485715,107,130265.6942
090600160,37.15808671,-118.2840648,30,901870.154
090600194,34.20897151,-114.2209288,172,2127796.722
090600226,34.12306497,-114.3926172,2950,6252801.731
090600227,33.87092164,-114.5187322,1000,3300683.725
090600237,34.87166268,-114.6295095,555,986563.1973
090600362,38.51247149,-119.4800912,520,1877823.531
090605004,39.81228525,-122.6289887,150,111514.749
090605006,41.24323157,-123.2907565,120,329475.5433
090605007,33.1712951,-117.260384,1076,2319913.963
090605008,33.18971302,-117.3025825,296,4641974.069
090605011,33.54614783,-116.7203468,44,90259.01505
090605013,33.18407212,-117.3159668,29100,2276389.009
090605014,41.51217963,-123.9922954,215,79829.38987
090605015,39.79876729,-123.2648545,409,494412.9704
090605017,33.21674911,-116.958552,1225,194271.2171
090605019,33.51363571,-116.6097986,132,204514.2313
090605021,39.67665825,-123.5020716,60,808219.068
090605024,32.74813148,-116.92644,12350,36846117.59
090605025,39.31141102,-122.5226558,98,2743448.175
090605041,41.22877636,-120.5028179,61,74341.32463
090605045,32.86365045,-116.4189568,400,430540.3835
090605047,39.5361236,-122.2051678,3474,1195570.211
090605060,41.87885474,-124.130963,220,173704.4739
090605062,40.5229529,-121.7511258,90,2405633.423
090605073,39.82533801,-123.2601079,84,78192.07618
090605080,33.21355582,-116.9802155,705,6412451.261
090605107,38.76122356,-122.1532454,12800,340717.7004
090605118,39.31372526,-123.3109677,152,644707.8513
090605119,40.60702001,-124.1873528,650,1006196.293
090605120,39.4057296,-123.3159477,104,3010957.847
090605121,33.19834333,-117.3574055,70,15343905.28
090605124,40.68471306,-124.2632797,215,135334.218
090605126,41.03615359,-123.6622758,3500,11328034.12
090605129,33.53630854,-116.1214708,1800,9469880.343
090605130,33.59081766,-116.1460411,379,6940651.033
090605132,33.14234646,-116.7911255,80,395520.917
090605143,41.84981914,-124.1218515,300,101423.3369
090605147,33.22359596,-116.5157494,101,115759.4672
090605150,40.40347483,-120.6121733,190,1727015.714
090605153,33.3748207,-117.0693525,14200,3145506.489
090605160,33.30022482,-115.9577995,300,9546033.308
090605164,39.02081291,-122.8824127,1645,2218810.196
093200067,41.94965331,-116.0999659,150,89616.32478
093200161,39.13899512,-119.7761883,450,639099.3127
093200162,38.88762822,-119.7065503,405,806735.6532
093200163,38.92229079,-115.69781,166,499264.3323
093200164,41.96988395,-117.6340225,89,36908.41236
093200165,41.94729302,-117.6732617,216,223773.9592
093200168,39.81325424,-119.3614763,800,200759.8791
093200169,39.63598199,-119.2859528,950,1585572.984
093200171,39.03749117,-119.1860265,512,594187.5896
093200173,39.72815811,-114.0741624,40,43159131.04
093200359,38.83114253,-120.0362842,150,770932.0702
093200360,38.9501212,-118.8185428,662,3078716.713
093200362,39.94898017,-119.6011441,250,3175637.367
093200366,40.60256473,-115.6597765,40,47982.63736
093200369,39.69955934,-119.7007253,620,570746.2238
093200372,41.98338029,-116.1179349,450,885452.9395
093200379,39.52802857,-120.004844,457,140702.2962
100211202,55.12016762,-131.5856148,1575,3111627.66
101600001,47.14955004,-116.916934,300,249634.0206
101600002,47.31239151,-116.9550313,50,19756.65702
101600003,46.36656845,-116.7902462,220,970926.7359
101600010,42.9235122,-112.6388885,300,467317.203
101611104,46.21239998,-116.0196702,200,2526634.327
101611105,46.42288727,-116.8410107,100,25126888.01
101612108,46.39529359,-116.8037794,240,493856.0064
101612109,43.04514289,-112.4401235,2850,9232885.319
104101100,43.61253081,-119.0636569,155,128589.7685
104101101,44.86835053,-121.3717554,130,130638590.1
104101133,45.64714465,-120.962856,75,7271.418566
104101136,44.71969754,-123.9100778,306,206669.1181
104101247,44.75015052,-121.259273,3800,1156279.247
104111101,45.66789905,-118.6781181,1310,641080.8482
104121121,44.72211461,-123.9282803,140,151724.2007
105300002,48.82982483,-122.704496,3750,7421654.177
105300003,48.10431336,-122.2296745,5968,2198957.379
105300007,48.12774205,-118.9717685,445,1162821.772
105300008,48.39174826,-119.496891,380,243832.4125
105300010,48.37655091,-118.1142196,38,97096.68233
105300011,47.74502425,-124.4188364,120,325564.1886
105300012,48.34067577,-124.6460515,1300,17981819.88
105300013,47.24785436,-122.1228065,2600,3901009.647
105300014,46.99798171,-122.6559197,3200,488249.5234
105300015,47.85616882,-122.5695218,1509,873581.5145
105300016,47.91091486,-124.6386683,885,1479258.863
105300017,47.53968498,-124.328514,200,2795398.066
105300018,47.34195841,-124.2903557,1600,1354890.684
105300019,46.72979815,-124.0326841,750,301131.6078
105300020,47.33371688,-123.1577159,1150,476983.3869
105300022,47.89052621,-117.9858054,530,75470.60702
105300024,45.88436456,-120.7412572,70,307888.6923
105300025,46.3758166,-120.3400783,907,176627.1073
105300026,46.38001718,-120.7311568,900,427888.7844
105300027,46.81183165,-123.1658471,350,647003.2358
105300028,48.78102768,-122.208962,150,292611.8911
105300031,47.7318679,-122.5817863,500,4624726.769
105300032,48.41258723,-122.5508165,1212,257455.5244
105300033,48.34574491,-119.5989063,95,371042.8419
105300036,48.33020154,-117.2931591,330,420243.044
105300042,46.38283272,-120.4916681,790,5121301.381
105300047,48.40438991,-119.49936,260,61157.24312
105300048,48.60138591,-122.224617,365,1072208.533
105300051,46.46060163,-120.5014806,125,78888.96844
105300058,47.99597437,-117.7334987,70,90478.92234
105300073,46.3621054,-120.3067892,100,168902.7787
105300081,47.29270525,-124.2394938,95,884833.0751
105300086,47.4844784,-123.8762473,50,617867.0242
